frame,timestamp,shot_type,direction
1272,50.88,Backhand,Right
1275,51.0,Backhand,Right
1284,51.36,Smash,Left
1287,51.48,Smash,Left
1290,51.6,Smash,Left
1293,51.72,Smash,Left
1296,51.84,Smash,Left
1299,51.96,Smash,Straight
1299,51.96,Bounce,Straight
1305,52.2,Smash,Left
1308,52.32,Smash,Right
1311,52.44,Smash,Right
1314,52.56,Smash,Straight
1314,52.56,Bounce,Straight
1317,52.68,Smash,Right
1320,52.8,Smash,Right
1323,52.92,Smash,Right
1326,53.04,Smash,Right
1329,53.16,Smash,Right
1332,53.28,Smash,Right
1335,53.4,Smash,Right
1365,54.6,Forehand,Right
1368,54.72,Forehand,Left
1368,54.72,Bounce,Left
1371,54.84,Forehand,Right
1374,54.96,Forehand,Right
1377,55.08,Forehand,Left
1380,55.2,Forehand,Straight
1383,55.32,Forehand,Left
1383,55.32,Bounce,Left
1386,55.44,Forehand,Right
1389,55.56,Forehand,Left
1389,55.56,Bounce,Left
1392,55.68,Smash,Right
1401,56.04,Forehand,Right
1404,56.16,Smash,Left
1407,56.28,Forehand,Left
1410,56.4,Forehand,Left
1416,56.64,Forehand,Right
1425,57.0,Forehand,Straight
1428,57.12,Forehand,Straight
1431,57.24,Forehand,Left
1434,57.36,Backhand,Straight
1434,57.36,Bounce,Straight
1437,57.48,Backhand,Right
1440,57.6,Backhand,Left
1443,57.72,Smash,Straight
1443,57.72,Bounce,Straight
1446,57.84,Backhand,Left
1449,57.96,Backhand,Straight
1452,58.08,Backhand,Straight
1455,58.2,Backhand,Straight
1458,58.32,Forehand,Straight
1461,58.44,Forehand,Straight
1464,58.56,Forehand,Straight
1488,59.52,Forehand,Right
1491,59.64,Forehand,Right
1494,59.76,Forehand,Right
1497,59.88,Backhand,Right
1500,60.0,Backhand,Right
1503,60.12,Smash,Right
1506,60.24,Backhand,Right
1509,60.36,Backhand,Right
1512,60.48,Backhand,Right
1515,60.6,Backhand,Right
1518,60.72,Backhand,Right
1521,60.84,Forehand,Right
1569,62.76,Smash,Left
1572,62.88,Smash,Left
1575,63.0,Smash,Left
1587,63.48,Backhand,Left
1590,63.6,Backhand,Left
1593,63.72,Backhand,Left
1596,63.84,Backhand,Right
1599,63.96,Smash,Right
1602,64.08,Backhand,Left
1605,64.2,Backhand,Left
1605,64.2,Bounce,Left
1608,64.32,Backhand,Left
1608,64.32,Bounce,Left
1611,64.44,Forehand,Left
1614,64.56,Backhand,Left
1617,64.68,Backhand,Left
1620,64.8,Forehand,Left
1623,64.92,Forehand,Left
1626,65.04,Forehand,Left
1629,65.16,Forehand,Left
1632,65.28,Backhand,Left
1635,65.4,Backhand,Left
1638,65.52,Backhand,Left
1641,65.64,Forehand,Left
1746,69.84,Smash,Left
1749,69.96,Forehand,Right
1749,69.96,Bounce,Right
1752,70.08,Forehand,Right
1752,70.08,Bounce,Right
1755,70.2,Forehand,Right
1755,70.2,Bounce,Right
1758,70.32,Forehand,Right
1758,70.32,Bounce,Right
1761,70.44,Forehand,Right
1761,70.44,Bounce,Right
1764,70.56,Forehand,Right
1764,70.56,Bounce,Right
1785,71.4,Smash,Right
1788,71.52,Smash,Right
1791,71.64,Backhand,Left
1794,71.76,Backhand,Left
1797,71.88,Forehand,Left
1800,72.0,Forehand,Left
1803,72.12,Forehand,Left
1806,72.24,Backhand,Left
1809,72.36,Forehand,Left
1809,72.36,Bounce,Left
1812,72.48,Forehand,Left
1815,72.6,Smash,Left
1818,72.72,Smash,Left
1821,72.84,Smash,Left
